clave_mun,municipio,asistencia_18_24,basica_incompleta_15mas,analfabeta_15mas,pct_internet,sin_lavadora,pob_6a14_no_asiste,pct_jefatura_f,piso_tierra,lengua_indigena,sin_drenaje,intensidad_migratoria,sin_energia_electrica,sin_excusado,sin_derechohabiencia
20001,Abejones,44.96124031007752,52.459016,21.639343999999998,7.834101382488479,77.777778,2.531646,28.883495145631066,15.740741,94.93201483312733,22.685185,-57.60548,1.8518519999999998,0.46296299999999996,5.231866999999999
20002,Acatlán de Pérez Figueroa,25.45764154959557,50.259146,12.798779999999999,28.435290501075926,39.087621999999996,5.334785,24.258533235873923,8.600662,11.042830104913897,20.201553999999998,-63.27465,1.600123,5.161936,26.247038999999997
20003,Asunción Cacalotepec,22.026431718061673,55.782678999999995,20.710058999999998,5.4088050314465415,94.836272,3.073286,23.17510969285999,25.81864,94.46052087639521,67.506297,-64.94813,3.7783379999999998,1.763224,23.792697
20004,Asunción Cuyotepeji,22.900763358778626,46.089048999999996,8.303249,17.595307917888565,51.917404,3.636364,30.26196928635953,6.19469,0.18957345971563982,9.439528,-61.16462,1.179941,7.079645999999999,27.913279
20005,Asunción Ixtaltepec,41.09477124183007,41.853488,11.375948,28.43592330978809,33.198215999999995,3.036145,25.074096028452875,2.979327,44.24670561065073,2.107823,-65.1866,1.540332,1.9051479999999998,21.853089999999998
20006,Asunción Nochixtlán,32.9535095715588,33.140022,6.057854,24.28892215568862,43.6487,3.322615,30.40524026005768,12.589521,11.55952873088053,16.509612,-64.14743,3.6750849999999997,1.3758009999999998,34.108678999999995
20007,Asunción Ocotlán,8.571428571428571,75.346113,31.576144999999997,16.25487646293888,68.318123,3.2154339999999997,27.390396659707722,54.367666,79.93049522154648,57.757497,-60.9633,2.346806,3.389831,43.465553
20008,Asunción Tlacolulita,33.33333333333333,63.478260999999996,8.695651999999999,3.731343283582089,59.701493,14.285713999999999,23.705722070844686,11.19403,8.948863636363637,3.731343,-64.62872,1.865672,3.358209,23.160763
20009,Ayotzintepec,11.782477341389729,59.678101999999996,12.727658,9.856262833675565,70.26749,4.245641,24.15050313548199,8.539095,55.85973546601046,20.627572,-62.92218,1.646091,1.286008,22.619221
20010,El Barrio de la Soledad,33.743589743589745,33.848048999999996,6.119742,31.595940959409596,23.084025999999998,3.889185,23.727178269259312,1.754386,4.521645355107071,2.216066,-64.46049,0.7386889999999999,2.0313939999999997,20.016327999999998
20011,Calihualá,6.329113924050633,67.731629,23.535676,3.823529411764706,56.047197999999995,3.225806,19.97084548104956,11.79941,42.934782608695656,26.843657999999998,-58.73558,1.769912,9.439528,20.542082999999998
20012,Candelaria Loxicha,9.309542280837858,62.089423,20.879756999999998,3.0831643002028395,86.753884,10.372447,17.750313451549346,25.143091,60.702503396079955,25.429271999999997,-62.66302,8.789861,2.12592,42.44134
20013,Ciénega de Zimatlán,35.76642335766424,49.808102,7.590618,58.48214285714286,17.410714,2.727273,25.69832402234637,11.160713999999999,1.163188504960657,2.566964,-59.83401,0.892857,0.334821,29.34604
20014,Ciudad Ixtepec,41.77984274481773,30.935890999999998,6.495087,49.69795539033458,34.593838,3.514685,34.056368176953264,4.738562,19.03456451672656,1.342204,-64.7638,1.038749,1.493931,25.268855
20015,Coatecas Altas,8.333333333333332,75.32502,30.512072,25.495049504950494,82.013201,7.379678999999999,19.156086631814787,23.184818,56.76959619952494,61.551154999999994,-59.45023,1.6501649999999999,6.848185,28.360716999999998
20016,Coicoyán de las Flores,6.775700934579438,80.362804,42.691088,4.174120453190221,92.159228,16.105477,24.32291122032835,38.781665,96.4711171049674,68.57659799999999,-60.20876,7.720145,6.513872,16.250131
20017,La Compañía,6.133333333333333,66.07480199999999,18.700416,5.5607917059377945,61.473088,5.025996999999999,23.06626004990297,16.525024,0.6120664529291752,41.076487,-61.12909,2.077432,2.360718,27.529802999999998
20018,Concepción Buenavista,17.741935483870968,64.825046,8.287293,12.236286919831224,46.835443,6.349206,20.877659574468087,7.1729959999999995,1.1157601115760112,8.860759,-63.74231,3.797468,6.329114,18.085106
20019,Concepción Pápalo,11.41304347826087,70.364964,18.588808,5.497076023391813,54.747948,4.1928719999999995,15.536826676438256,18.522859999999998,39.75858166729536,23.329425999999998,-64.86829,0.468933,0.937866,20.297749
